[2025-02-24 02:15:02] 
==================================================
[2025-02-24 02:15:02] Starting calculation for L=4, J2=0.505
[2025-02-24 02:15:02] ==================================================
[2025-02-24 02:15:02] System size: L=4, N=16
[2025-02-24 02:15:02] Parameters: J1=1.0, J2=0.505
[2025-02-24 02:15:02] Optimization parameters:
[2025-02-24 02:15:02]   - Learning rate: 0.005
[2025-02-24 02:15:02]   - Number of iterations: 10000
[2025-02-24 02:15:02]   - Number of samples: 4096
[2025-02-24 02:15:02]   - Number of samples to discard: 0
[2025-02-24 02:15:02]   - Chunk size: 1024
[2025-02-24 02:15:02] --------------------------------------------------
[2025-02-24 02:15:06] Number of parameters = 11328
[2025-02-24 02:15:06] Starting optimization...
[2025-02-24 02:15:16] Step 0/10000: Current Total Energy = 11.526549-0.008192j
[2025-02-24 02:16:49] Step 100/10000: Current Total Energy = 9.765894+0.013117j
[2025-02-24 02:18:18] Step 200/10000: Current Total Energy = 7.524384+0.057939j
[2025-02-24 02:19:48] Step 300/10000: Current Total Energy = 4.897540+0.038986j
[2025-02-24 02:21:18] Step 400/10000: Current Total Energy = 2.548503-0.091060j
[2025-02-24 02:22:48] Step 500/10000: Current Total Energy = 0.457330+0.022112j
[2025-02-24 02:24:18] Step 600/10000: Current Total Energy = -1.536202+0.003098j
[2025-02-24 02:25:48] Step 700/10000: Current Total Energy = -3.475356-0.019391j
[2025-02-24 02:27:19] Step 800/10000: Current Total Energy = -5.293262+0.001486j
[2025-02-24 02:28:49] Step 900/10000: Current Total Energy = -6.411915+0.032068j
[2025-02-24 02:30:19] Step 1000/10000: Current Total Energy = -7.171885+0.020714j
[2025-02-24 02:31:49] Step 1100/10000: Current Total Energy = -7.866019+0.006739j
[2025-02-24 02:33:19] Step 1200/10000: Current Total Energy = -8.264319+0.002633j
[2025-02-24 02:34:49] Step 1300/10000: Current Total Energy = -8.373338-0.007090j
[2025-02-24 02:36:19] Step 1400/10000: Current Total Energy = -8.399729+0.003195j
[2025-02-24 02:37:49] Step 1500/10000: Current Total Energy = -8.408408-0.000318j
[2025-02-24 02:39:20] Step 1600/10000: Current Total Energy = -8.407685+0.005693j
[2025-02-24 02:40:50] Step 1700/10000: Current Total Energy = -8.417120+0.002788j
[2025-02-24 02:42:20] Step 1800/10000: Current Total Energy = -8.422933-0.006335j
[2025-02-24 02:43:50] Step 1900/10000: Current Total Energy = -8.423911+0.005844j
[2025-02-24 02:45:20] Step 2000/10000: Current Total Energy = -8.426523-0.000019j
[2025-02-24 02:46:50] Step 2100/10000: Current Total Energy = -8.435915-0.000451j
[2025-02-24 02:48:20] Step 2200/10000: Current Total Energy = -8.432847-0.000711j
[2025-02-24 02:49:51] Step 2300/10000: Current Total Energy = -8.438762+0.001367j
[2025-02-24 02:51:21] Step 2400/10000: Current Total Energy = -8.437648+0.000110j
[2025-02-24 02:52:51] Step 2500/10000: Current Total Energy = -8.437896-0.001118j
[2025-02-24 02:54:21] Step 2600/10000: Current Total Energy = -8.437361+0.000235j
[2025-02-24 02:55:51] Step 2700/10000: Current Total Energy = -8.439587-0.001055j
[2025-02-24 02:57:21] Step 2800/10000: Current Total Energy = -8.435471-0.007740j
[2025-02-24 02:58:51] Step 2900/10000: Current Total Energy = -8.439751-0.000540j
[2025-02-24 03:00:21] Step 3000/10000: Current Total Energy = -8.439797+0.002402j
[2025-02-24 03:01:51] Step 3100/10000: Current Total Energy = -8.439888+0.000144j
[2025-02-24 03:03:21] Step 3200/10000: Current Total Energy = -8.440091-0.000115j
[2025-02-24 03:04:51] Step 3300/10000: Current Total Energy = -8.444235-0.006592j
[2025-02-24 03:06:21] Step 3400/10000: Current Total Energy = -8.442495-0.000203j
[2025-02-24 03:07:51] Step 3500/10000: Current Total Energy = -8.441044-0.000175j
[2025-02-24 03:09:21] Step 3600/10000: Current Total Energy = -8.440358+0.000124j
[2025-02-24 03:10:52] Step 3700/10000: Current Total Energy = -8.441852+0.000551j
[2025-02-24 03:12:22] Step 3800/10000: Current Total Energy = -8.443791+0.000141j
[2025-02-24 03:13:53] Step 3900/10000: Current Total Energy = -8.441942-0.000392j
[2025-02-24 03:15:23] Step 4000/10000: Current Total Energy = -8.441695-0.000330j
[2025-02-24 03:16:53] Step 4100/10000: Current Total Energy = -8.436054+0.002725j
[2025-02-24 03:18:24] Step 4200/10000: Current Total Energy = -8.442790-0.000274j
[2025-02-24 03:19:54] Step 4300/10000: Current Total Energy = -8.442119+0.000107j
[2025-02-24 03:21:24] Step 4400/10000: Current Total Energy = -8.442140+0.000222j
[2025-02-24 03:22:54] Step 4500/10000: Current Total Energy = -8.440001+0.000188j
[2025-02-24 03:24:24] Step 4600/10000: Current Total Energy = -8.440916-0.000044j
[2025-02-24 03:25:54] Step 4700/10000: Current Total Energy = -8.437564-0.002310j
[2025-02-24 03:27:24] Step 4800/10000: Current Total Energy = -8.442533+0.000124j
[2025-02-24 03:28:54] Step 4900/10000: Current Total Energy = -8.441355-0.000037j
[2025-02-24 03:30:24] Step 5000/10000: Current Total Energy = -8.442717+0.000003j
[2025-02-24 03:31:54] Step 5100/10000: Current Total Energy = -8.439932-0.001335j
[2025-02-24 03:33:25] Step 5200/10000: Current Total Energy = -8.441558+0.000108j
[2025-02-24 03:34:55] Step 5300/10000: Current Total Energy = -8.441354-0.000647j
[2025-02-24 03:36:25] Step 5400/10000: Current Total Energy = -8.441016+0.000509j
[2025-02-24 03:37:54] Step 5500/10000: Current Total Energy = -8.440808-0.000468j
[2025-02-24 03:39:24] Step 5600/10000: Current Total Energy = -8.442140-0.000137j
[2025-02-24 03:40:55] Step 5700/10000: Current Total Energy = -8.443574+0.000214j
[2025-02-24 03:42:25] Step 5800/10000: Current Total Energy = -8.443130-0.000175j
[2025-02-24 03:43:55] Step 5900/10000: Current Total Energy = -8.442351+0.000160j
[2025-02-24 03:45:25] Step 6000/10000: Current Total Energy = -8.442620+0.000334j
[2025-02-24 03:46:55] Step 6100/10000: Current Total Energy = -8.441575-0.000196j
[2025-02-24 03:48:25] Step 6200/10000: Current Total Energy = -8.442621+0.000278j
[2025-02-24 03:49:55] Step 6300/10000: Current Total Energy = -8.441675+0.000013j
[2025-02-24 03:51:25] Step 6400/10000: Current Total Energy = -8.440538+0.001460j
[2025-02-24 03:52:55] Step 6500/10000: Current Total Energy = -8.442941-0.000063j
