[2025-02-24 07:16:23] 
==================================================
[2025-02-24 07:16:23] Starting calculation for L=4, J2=0.8
[2025-02-24 07:16:23] ==================================================
[2025-02-24 07:16:23] System size: L=4, N=16
[2025-02-24 07:16:23] Parameters: J1=1.0, J2=0.8
[2025-02-24 07:16:23] Optimization parameters:
[2025-02-24 07:16:23]   - Learning rate: 0.005
[2025-02-24 07:16:23]   - Number of iterations: 10000
[2025-02-24 07:16:23]   - Number of samples: 4096
[2025-02-24 07:16:23]   - Number of samples to discard: 0
[2025-02-24 08:55:46] Step 6600/10000: Current Total Energy = -10.034281-0.000138j
[2025-02-24 08:57:16] Step 6700/10000: Current Total Energy = -10.030410-0.000861j
[2025-02-24 08:58:46] Step 6800/10000: Current Total Energy = -10.031898-0.000268j
[2025-02-24 09:00:17] Step 6900/10000: Current Total Energy = -10.033426+0.002835j
[2025-02-24 09:01:47] Step 7000/10000: Current Total Energy = -10.034057+0.000249j
[2025-02-24 09:03:17] Step 7100/10000: Current Total Energy = -10.034036+0.000152j
[2025-02-24 09:04:47] Step 7200/10000: Current Total Energy = -10.033899-0.000330j
[2025-02-24 09:06:18] Step 7300/10000: Current Total Energy = -10.034049+0.000014j
[2025-02-24 09:07:48] Step 7400/10000: Current Total Energy = -10.032974-0.000536j
[2025-02-24 09:09:18] Step 7500/10000: Current Total Energy = -10.033996-0.001903j
[2025-02-24 09:10:48] Step 7600/10000: Current Total Energy = -10.033366+0.000134j
[2025-02-24 09:12:19] Step 7700/10000: Current Total Energy = -10.033530-0.000152j
[2025-02-24 09:13:49] Step 7800/10000: Current Total Energy = -10.034126-0.000011j
[2025-02-24 09:15:19] Step 7900/10000: Current Total Energy = -10.034052-0.000536j
[2025-02-24 09:16:49] Step 8000/10000: Current Total Energy = -10.033034+0.000395j
[2025-02-24 09:18:19] Step 8100/10000: Current Total Energy = -10.031745-0.000067j
[2025-02-24 09:19:50] Step 8200/10000: Current Total Energy = -10.033460-0.000800j
[2025-02-24 09:21:20] Step 8300/10000: Current Total Energy = -10.034070-0.000317j
[2025-02-24 09:22:50] Step 8400/10000: Current Total Energy = -10.034202+0.000132j
[2025-02-24 09:24:20] Step 8500/10000: Current Total Energy = -10.034142-0.000560j
[2025-02-24 09:25:51] Step 8600/10000: Current Total Energy = -10.033760-0.000586j
[2025-02-24 09:27:21] Step 8700/10000: Current Total Energy = -10.034135+0.000231j
[2025-02-24 09:28:51] Step 8800/10000: Current Total Energy = -10.032283-0.000974j
[2025-02-24 09:30:21] Step 8900/10000: Current Total Energy = -10.062832-0.000903j
[2025-02-24 09:31:51] Step 9000/10000: Current Total Energy = -10.034243+0.000181j
[2025-02-24 09:33:22] Step 9100/10000: Current Total Energy = -10.034562-0.000119j
[2025-02-24 09:34:52] Step 9200/10000: Current Total Energy = -10.034156-0.000298j
[2025-02-24 09:36:22] Step 9300/10000: Current Total Energy = -10.034802-0.000322j
[2025-02-24 09:37:52] Step 9400/10000: Current Total Energy = -10.032826+0.000484j
[2025-02-24 09:39:22] Step 9500/10000: Current Total Energy = -10.034455+0.000256j
[2025-02-24 09:40:52] Step 9600/10000: Current Total Energy = -10.034255-0.000876j
[2025-02-24 09:42:22] Step 9700/10000: Current Total Energy = -10.033876+0.000218j
[2025-02-24 09:43:53] Step 9800/10000: Current Total Energy = -10.033786-0.000342j
[2025-02-24 09:45:23] Step 9900/10000: Current Total Energy = -10.034462-0.000196j
[2025-02-24 09:46:52] ==================================================
[2025-02-24 09:46:52] Optimization completed for L=4, J2=0.8
[2025-02-24 09:46:52] Total runtime = 9022.36 seconds
[2025-02-24 09:46:52] ==================================================
