[2025-02-24 00:14:19] 
==================================================
[2025-02-24 00:14:19] Starting calculation for L=4, J2=0.2
[2025-02-24 00:14:19] ==================================================
[2025-02-24 00:14:19] System size: L=4, N=16
[2025-02-24 00:14:19] Parameters: J1=1.0, J2=0.2
[2025-02-24 00:14:19] Optimization parameters:
[2025-02-24 00:14:19]   - Learning rate: 0.005
[2025-02-24 00:14:19]   - Number of iterations: 10000
[2025-02-24 00:14:19]   - Number of samples: 4096
[2025-02-24 00:14:19]   - Number of samples to discard: 0
[2025-02-24 00:14:19]   - Chunk size: 1024
[2025-02-24 00:14:19] --------------------------------------------------
[2025-02-24 00:14:22] Number of parameters = 9024
[2025-02-24 00:14:22] Starting optimization...
[2025-02-24 00:14:32] Step 0/10000: Current Total Energy = 9.096791+0.017902j
[2025-02-24 00:15:45] Step 100/10000: Current Total Energy = 6.655828+0.008271j
[2025-02-24 00:16:54] Step 200/10000: Current Total Energy = 3.883053-0.092343j
[2025-02-24 00:18:02] Step 300/10000: Current Total Energy = 1.536283-0.088579j
[2025-02-24 00:19:10] Step 400/10000: Current Total Energy = -1.005367-0.109370j
[2025-02-24 00:20:18] Step 500/10000: Current Total Energy = -2.963856-0.049350j
[2025-02-24 00:21:29] Step 600/10000: Current Total Energy = -4.552189-0.014698j
[2025-02-24 00:22:38] Step 700/10000: Current Total Energy = -5.764628-0.035244j
[2025-02-24 00:23:47] Step 800/10000: Current Total Energy = -6.792532-0.005577j
[2025-02-24 00:24:57] Step 900/10000: Current Total Energy = -7.657076-0.049029j
[2025-02-24 00:26:08] Step 1000/10000: Current Total Energy = -8.312767-0.031834j
[2025-02-24 00:27:20] Step 1100/10000: Current Total Energy = -8.806788-0.014023j
[2025-02-24 00:28:32] Step 1200/10000: Current Total Energy = -9.221151-0.013228j
[2025-02-24 00:29:43] Step 1300/10000: Current Total Energy = -9.581108+0.007630j
[2025-02-24 00:30:55] Step 1400/10000: Current Total Energy = -9.802272-0.002507j
[2025-02-24 00:32:07] Step 1500/10000: Current Total Energy = -9.889325-0.001379j
[2025-02-24 00:33:19] Step 1600/10000: Current Total Energy = -9.908986-0.001208j
[2025-02-24 00:34:32] Step 1700/10000: Current Total Energy = -9.915119+0.000564j
[2025-02-24 00:35:45] Step 1800/10000: Current Total Energy = -9.917170+0.003590j
[2025-02-24 00:36:58] Step 1900/10000: Current Total Energy = -9.916038-0.000516j
[2025-02-24 00:38:10] Step 2000/10000: Current Total Energy = -9.916591-0.000776j
[2025-02-24 00:39:23] Step 2100/10000: Current Total Energy = -9.916804+0.000337j
[2025-02-24 00:40:36] Step 2200/10000: Current Total Energy = -9.917072+0.000951j
[2025-02-24 00:41:49] Step 2300/10000: Current Total Energy = -9.916315+0.000041j
[2025-02-24 00:43:01] Step 2400/10000: Current Total Energy = -9.916936-0.000068j
[2025-02-24 00:44:14] Step 2500/10000: Current Total Energy = -9.917152+0.000252j
[2025-02-24 00:45:26] Step 2600/10000: Current Total Energy = -9.920237+0.000409j
[2025-02-24 00:46:39] Step 2700/10000: Current Total Energy = -9.916811+0.000005j
[2025-02-24 00:47:51] Step 2800/10000: Current Total Energy = -9.917122+0.000059j
[2025-02-24 00:49:04] Step 2900/10000: Current Total Energy = -9.916910-0.000290j
[2025-02-24 00:50:16] Step 3000/10000: Current Total Energy = -9.917436-0.000088j
[2025-02-24 00:51:29] Step 3100/10000: Current Total Energy = -9.916934-0.000035j
[2025-02-24 00:52:41] Step 3200/10000: Current Total Energy = -9.917331+0.000123j
[2025-02-24 00:53:54] Step 3300/10000: Current Total Energy = -9.917338+0.000129j
[2025-02-24 00:55:05] Step 3400/10000: Current Total Energy = -9.917779+0.000045j
[2025-02-24 00:56:18] Step 3500/10000: Current Total Energy = -9.909684-0.010032j
[2025-02-24 00:57:30] Step 3600/10000: Current Total Energy = -9.917230-0.000043j
[2025-02-24 00:58:42] Step 3700/10000: Current Total Energy = -9.917379-0.000214j
[2025-02-24 00:59:55] Step 3800/10000: Current Total Energy = -9.917333-0.000087j
[2025-02-24 01:01:07] Step 3900/10000: Current Total Energy = -9.917511+0.000006j
[2025-02-24 01:02:19] Step 4000/10000: Current Total Energy = -9.917435+0.000068j
[2025-02-24 01:03:31] Step 4100/10000: Current Total Energy = -9.918324+0.000529j
[2025-02-24 01:04:44] Step 4200/10000: Current Total Energy = -9.916990-0.000125j
[2025-02-24 01:05:56] Step 4300/10000: Current Total Energy = -9.917580+0.000063j
[2025-02-24 01:07:08] Step 4400/10000: Current Total Energy = -9.917735+0.000112j
[2025-02-24 01:08:21] Step 4500/10000: Current Total Energy = -9.917656-0.000202j
[2025-02-24 01:09:34] Step 4600/10000: Current Total Energy = -9.917758-0.000042j
[2025-02-24 01:10:46] Step 4700/10000: Current Total Energy = -9.917254+0.000447j
[2025-02-24 01:11:59] Step 4800/10000: Current Total Energy = -9.917488+0.000028j
[2025-02-24 01:13:11] Step 4900/10000: Current Total Energy = -9.917668-0.000062j
[2025-02-24 01:14:24] Step 5000/10000: Current Total Energy = -9.917708+0.000054j
[2025-02-24 01:15:36] Step 5100/10000: Current Total Energy = -9.917799-0.000059j
