[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] GCNN for Shastry-Sutherland lattice
[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] System parameters:
[2025-04-16 00:48:17]   - System size: L=5, N=100
[2025-04-16 00:48:17]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Model parameters:
[2025-04-16 00:48:24]   - Number of layers = 4
[2025-04-16 00:48:24]   - Number of features = 4
[2025-04-16 00:48:24]   - Symmetries used: 200
[2025-04-16 00:48:24]   - Total parameters = 19628
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Training parameters:
[2025-04-16 00:48:24]   - Learning rate: 0.02
[2025-04-16 00:48:24]   - Total annealing steps: 1000
[2025-04-16 00:48:24]   - Samples: 4096
[2025-04-16 00:48:24]   - Discarded samples: 0
[2025-04-16 00:48:24]   - Chunk size: 1024
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Device status:
[2025-04-16 00:48:24]   - Number of devices: 4
[2025-04-16 00:48:24]   - Sharding: False
[2025-04-16 00:48:31] --------------------------------------------------
[2025-04-16 00:48:31] Start training...
[2025-04-16 00:58:26] Iteration: 39/1000, Temp: 0.2292, Energy: 2.118161+0.000401j, Rel_err(%): 103.9024
[2025-04-16 00:58:41] Iteration: 40/1000, Temp: 0.2247, Energy: 2.113780+0.000060j, Rel_err(%): 103.8944
[2025-04-16 00:58:55] Iteration: 41/1000, Temp: 0.2202, Energy: 2.110911+0.001883j, Rel_err(%): 103.8891
[2025-04-16 00:59:09] Iteration: 42/1000, Temp: 0.2159, Energy: 2.113292-0.000689j, Rel_err(%): 103.8935
[2025-04-16 00:59:23] Iteration: 43/1000, Temp: 0.2116, Energy: 2.111150-0.000367j, Rel_err(%): 103.8895
[2025-04-16 00:59:38] Iteration: 44/1000, Temp: 0.2074, Energy: 2.106917+0.000614j, Rel_err(%): 103.8817
[2025-04-16 00:59:52] Iteration: 45/1000, Temp: 0.2033, Energy: 2.108309-0.000355j, Rel_err(%): 103.8843
[2025-04-16 01:00:06] Iteration: 46/1000, Temp: 0.1993, Energy: 2.109456-0.001026j, Rel_err(%): 103.8864
[2025-04-16 01:00:20] Iteration: 47/1000, Temp: 0.1953, Energy: 2.099189+0.002911j, Rel_err(%): 103.8675
[2025-04-16 01:00:35] Iteration: 48/1000, Temp: 0.1914, Energy: 2.101533-0.001660j, Rel_err(%): 103.8718
[2025-04-16 01:00:49] Iteration: 49/1000, Temp: 0.1877, Energy: 2.094265+0.002090j, Rel_err(%): 103.8584
[2025-04-16 01:01:03] Iteration: 50/1000, Temp: 0.1839, Energy: 2.089057+0.000388j, Rel_err(%): 103.8488
[2025-04-16 01:01:17] Iteration: 51/1000, Temp: 0.1803, Energy: 2.092128-0.000698j, Rel_err(%): 103.8545
[2025-04-16 01:01:32] Iteration: 52/1000, Temp: 0.1767, Energy: 2.085423-0.002304j, Rel_err(%): 103.8421
[2025-04-16 01:01:46] Iteration: 53/1000, Temp: 0.1732, Energy: 2.070858+0.002175j, Rel_err(%): 103.8153
[2025-04-16 01:02:00] Iteration: 54/1000, Temp: 0.1698, Energy: 2.064382+0.002476j, Rel_err(%): 103.8034
[2025-04-16 01:02:14] Iteration: 55/1000, Temp: 0.1664, Energy: 2.053347+0.002477j, Rel_err(%): 103.7830
[2025-04-16 01:02:29] Iteration: 56/1000, Temp: 0.1631, Energy: 2.036284+0.005860j, Rel_err(%): 103.7516
[2025-04-16 01:02:43] Iteration: 57/1000, Temp: 0.1599, Energy: 2.051014-0.009740j, Rel_err(%): 103.7787
[2025-04-16 01:02:57] Iteration: 58/1000, Temp: 0.1567, Energy: 2.001595+0.010280j, Rel_err(%): 103.6877
[2025-04-16 01:03:12] Iteration: 59/1000, Temp: 0.1536, Energy: 2.001735+0.002238j, Rel_err(%): 103.6879
[2025-04-16 01:03:26] Iteration: 60/1000, Temp: 0.1506, Energy: 1.978766+0.004836j, Rel_err(%): 103.6456
[2025-04-16 01:03:40] Iteration: 61/1000, Temp: 0.1476, Energy: 1.979070-0.003530j, Rel_err(%): 103.6462
[2025-04-16 01:03:54] Iteration: 62/1000, Temp: 0.1447, Energy: 1.940823-0.001723j, Rel_err(%): 103.5757
[2025-04-16 01:04:09] Iteration: 63/1000, Temp: 0.1418, Energy: 1.896605+0.004860j, Rel_err(%): 103.4943
[2025-04-16 01:04:23] Iteration: 64/1000, Temp: 0.1390, Energy: 1.881868-0.009119j, Rel_err(%): 103.4671
[2025-04-16 01:04:37] Iteration: 65/1000, Temp: 0.1363, Energy: 1.805341+0.016078j, Rel_err(%): 103.3261
[2025-04-16 01:04:52] Iteration: 66/1000, Temp: 0.1336, Energy: 1.764978+0.002230j, Rel_err(%): 103.2518
[2025-04-16 01:05:06] Iteration: 67/1000, Temp: 0.1309, Energy: 1.731881-0.005278j, Rel_err(%): 103.1908
[2025-04-16 01:05:20] Iteration: 68/1000, Temp: 0.1283, Energy: 1.686613-0.010242j, Rel_err(%): 103.1074
[2025-04-16 01:05:34] Iteration: 69/1000, Temp: 0.1258, Energy: 1.584710-0.000909j, Rel_err(%): 102.9196
[2025-04-16 01:05:49] Iteration: 70/1000, Temp: 0.1233, Energy: 1.495027+0.005893j, Rel_err(%): 102.7544
[2025-04-16 01:06:03] Iteration: 71/1000, Temp: 0.1209, Energy: 1.418662-0.009287j, Rel_err(%): 102.6137
[2025-04-16 01:06:17] Iteration: 72/1000, Temp: 0.1185, Energy: 1.285079-0.002752j, Rel_err(%): 102.3676
[2025-04-16 01:06:32] Iteration: 73/1000, Temp: 0.1161, Energy: 1.150542-0.006957j, Rel_err(%): 102.1197
[2025-04-16 01:06:46] Iteration: 74/1000, Temp: 0.1138, Energy: 0.956721+0.015038j, Rel_err(%): 101.7626
[2025-04-16 01:07:00] Iteration: 75/1000, Temp: 0.1116, Energy: 0.837569-0.001655j, Rel_err(%): 101.5431
[2025-04-16 01:07:14] Iteration: 76/1000, Temp: 0.1094, Energy: 0.620365+0.047099j, Rel_err(%): 101.1430
[2025-04-16 01:07:29] Iteration: 77/1000, Temp: 0.1072, Energy: 0.422045+0.011731j, Rel_err(%): 100.7776
[2025-04-16 01:07:43] Iteration: 78/1000, Temp: 0.1051, Energy: 0.204624-0.026045j, Rel_err(%): 100.3770
[2025-04-16 01:07:57] Iteration: 79/1000, Temp: 0.1030, Energy: -0.081260-0.047712j, Rel_err(%): 99.8503
[2025-04-16 01:08:11] Iteration: 80/1000, Temp: 0.1009, Energy: -0.389060+0.019312j, Rel_err(%): 99.2832
[2025-04-16 01:08:26] Iteration: 81/1000, Temp: 0.0989, Energy: -0.679317-0.048479j, Rel_err(%): 98.7485
[2025-04-16 01:08:40] Iteration: 82/1000, Temp: 0.0970, Energy: -1.135155+0.046322j, Rel_err(%): 97.9087
[2025-04-16 01:08:54] Iteration: 83/1000, Temp: 0.0951, Energy: -1.451291-0.048322j, Rel_err(%): 97.3262
[2025-04-16 01:09:08] Iteration: 84/1000, Temp: 0.0932, Energy: -1.957812-0.028552j, Rel_err(%): 96.3930
[2025-04-16 01:09:23] Iteration: 85/1000, Temp: 0.0913, Energy: -2.518583-0.037593j, Rel_err(%): 95.3598
[2025-04-16 01:09:37] Iteration: 86/1000, Temp: 0.0895, Energy: -3.115608-0.007399j, Rel_err(%): 94.2599
[2025-04-16 01:09:51] Iteration: 87/1000, Temp: 0.0878, Energy: -3.718278-0.023668j, Rel_err(%): 93.1495
[2025-04-16 01:10:05] Iteration: 88/1000, Temp: 0.0860, Energy: -4.471830+0.065580j, Rel_err(%): 91.7613
[2025-04-16 01:10:20] Iteration: 89/1000, Temp: 0.0843, Energy: -5.336543+0.052160j, Rel_err(%): 90.1681
[2025-04-16 01:10:34] Iteration: 90/1000, Temp: 0.0826, Energy: -6.226096+0.029487j, Rel_err(%): 88.5292
[2025-04-16 01:10:48] Iteration: 91/1000, Temp: 0.0810, Energy: -7.206481-0.120148j, Rel_err(%): 86.7232
[2025-04-16 01:11:03] Iteration: 92/1000, Temp: 0.0794, Energy: -8.287497+0.042389j, Rel_err(%): 84.7314
[2025-04-16 01:11:17] Iteration: 93/1000, Temp: 0.0778, Energy: -9.298870-0.084645j, Rel_err(%): 82.8681
[2025-04-16 01:11:31] Iteration: 94/1000, Temp: 0.0763, Energy: -10.410328-0.039973j, Rel_err(%): 80.8203
[2025-04-16 01:11:45] Iteration: 95/1000, Temp: 0.0748, Energy: -11.849230+0.022688j, Rel_err(%): 78.1693
[2025-04-16 01:12:00] Iteration: 96/1000, Temp: 0.0733, Energy: -12.843492-0.094710j, Rel_err(%): 76.3377
[2025-04-16 01:12:14] Iteration: 97/1000, Temp: 0.0719, Energy: -14.124607-0.139882j, Rel_err(%): 73.9776
[2025-04-16 01:12:28] Iteration: 98/1000, Temp: 0.0704, Energy: -15.263760-0.114688j, Rel_err(%): 71.8787
[2025-04-16 01:12:42] Iteration: 99/1000, Temp: 0.0690, Energy: -16.453432+0.036390j, Rel_err(%): 69.6866
[2025-04-16 01:12:57] Iteration: 100/1000, Temp: 0.0677, Energy: -17.867918-0.132653j, Rel_err(%): 67.0810
[2025-04-16 01:13:11] Iteration: 101/1000, Temp: 0.0663, Energy: -19.118389-0.032352j, Rel_err(%): 64.7768
[2025-04-16 01:13:25] Iteration: 102/1000, Temp: 0.0650, Energy: -20.343545+0.027409j, Rel_err(%): 62.5196
[2025-04-16 01:13:39] Iteration: 103/1000, Temp: 0.0637, Energy: -21.870279+0.085609j, Rel_err(%): 59.7069
[2025-04-16 01:13:54] Iteration: 104/1000, Temp: 0.0625, Energy: -23.813993+0.090577j, Rel_err(%): 56.1259
[2025-04-16 01:14:08] Iteration: 105/1000, Temp: 0.0612, Energy: -25.840898+0.199138j, Rel_err(%): 52.3926
[2025-04-16 01:14:22] Iteration: 106/1000, Temp: 0.0600, Energy: -28.333206+0.043637j, Rel_err(%): 47.7997
[2025-04-16 01:14:36] Iteration: 107/1000, Temp: 0.0588, Energy: -31.306038+0.121274j, Rel_err(%): 42.3231
[2025-04-16 01:14:51] Iteration: 108/1000, Temp: 0.0577, Energy: -35.353113+0.210161j, Rel_err(%): 34.8684
[2025-04-16 01:15:05] Iteration: 109/1000, Temp: 0.0565, Energy: -39.690685+0.186462j, Rel_err(%): 26.8770
[2025-04-16 01:15:19] Iteration: 110/1000, Temp: 0.0554, Energy: -43.945037+0.154649j, Rel_err(%): 19.0389
[2025-04-16 01:15:33] Iteration: 111/1000, Temp: 0.0543, Energy: -47.602321+0.189015j, Rel_err(%): 12.3036
[2025-04-16 01:15:48] Iteration: 112/1000, Temp: 0.0532, Energy: -51.546049+0.148896j, Rel_err(%): 5.0403
[2025-04-16 01:16:02] Iteration: 113/1000, Temp: 0.0522, Energy: -55.082669+0.232100j, Rel_err(%): 1.5434
[2025-04-16 01:16:16] Iteration: 114/1000, Temp: 0.0511, Energy: -58.360827+0.098764j, Rel_err(%): 7.5248
[2025-04-16 01:16:30] Iteration: 115/1000, Temp: 0.0501, Energy: -61.267285+0.077964j, Rel_err(%): 12.8782
[2025-04-16 01:16:45] Iteration: 116/1000, Temp: 0.0491, Energy: -63.847003+0.058600j, Rel_err(%): 17.6305
[2025-04-16 01:16:59] Iteration: 117/1000, Temp: 0.0482, Energy: -65.603752+0.071774j, Rel_err(%): 20.8672
[2025-04-16 01:17:13] Iteration: 118/1000, Temp: 0.0472, Energy: -67.451616-0.089294j, Rel_err(%): 24.2718
[2025-04-16 01:17:28] Iteration: 119/1000, Temp: 0.0463, Energy: -69.164824+0.031505j, Rel_err(%): 27.4277
[2025-04-16 01:17:42] Iteration: 120/1000, Temp: 0.0454, Energy: -69.900459+0.096696j, Rel_err(%): 28.7835
[2025-04-16 01:17:56] Iteration: 121/1000, Temp: 0.0445, Energy: -71.240727-0.004089j, Rel_err(%): 31.2522
[2025-04-16 01:18:10] Iteration: 122/1000, Temp: 0.0436, Energy: -72.013426-0.202213j, Rel_err(%): 32.6779
[2025-04-16 01:18:25] Iteration: 123/1000, Temp: 0.0427, Energy: -72.940219-0.010227j, Rel_err(%): 34.3833
[2025-04-16 01:18:39] Iteration: 124/1000, Temp: 0.0419, Energy: -74.020887+0.033911j, Rel_err(%): 36.3743
[2025-04-16 01:18:53] Iteration: 125/1000, Temp: 0.0410, Energy: -74.389996+0.089204j, Rel_err(%): 37.0547
[2025-04-16 01:19:07] Iteration: 126/1000, Temp: 0.0402, Energy: -74.772224+0.135686j, Rel_err(%): 37.7594
[2025-04-16 01:19:22] Iteration: 127/1000, Temp: 0.0394, Energy: -75.468378+0.006504j, Rel_err(%): 39.0411
