[2025-03-05 19:44:05] 
==================================================
[2025-03-05 19:44:05] 开始计算: L=3, J1=0.8 (固定 J2=1.0)
[2025-03-05 19:44:05] ==================================================
[2025-03-05 19:44:05] 系统大小: L=3, N=36
[2025-03-05 19:44:05] 参数: J1=0.8, J2=1.0, h=0.0
[2025-03-05 19:44:05] 优化参数:
[2025-03-05 19:44:05]   - 学习率: 0.05
[2025-03-05 19:44:05]   - 退火迭代次数: 2000
[2025-03-05 19:44:05]   - 每次退火训练步数: 1
[2025-03-05 19:44:05]   - 样本数: 4096
[2025-03-05 19:44:05]   - 丢弃样本数: 0
[2025-03-05 19:44:05]   - Chunk大小: 1024
[2025-03-05 19:44:05] --------------------------------------------------
[2025-03-05 19:44:07] 使用对称性数目: 16
[2025-03-05 19:44:20] 设备数量: 1
[2025-03-05 19:44:20] Sharding状态: True
[2025-03-05 19:44:20] 采样器配置: 样本总数=4096
[2025-03-05 19:44:20] Chunk大小: 1024
[2025-03-05 19:44:20] 参数数量 = 83472
[2025-03-05 19:44:20] 开始优化...
[2025-03-05 19:44:20] 开始温度退火优化，总迭代次数: 2000, 学习率: 0.05
[2025-03-06 01:04:39] Iter 450/2000, T=0.0001, Energy = -16.203122 ± 0.007653, Variance = 0.166077
[2025-03-06 01:11:35] Iter 460/2000, T=0.0001, Energy = -16.211755 ± 0.011015, Variance = 0.449103
[2025-03-06 01:18:35] Iter 470/2000, T=0.0000, Energy = -16.205256 ± 0.006243, Variance = 0.171744
[2025-03-06 01:25:35] Iter 480/2000, T=0.0000, Energy = -16.202756 ± 0.007340, Variance = 0.232190
[2025-03-06 01:32:31] Iter 490/2000, T=0.0000, Energy = -16.206060 ± 0.007572, Variance = 0.240004
[2025-03-06 01:39:29] Iter 500/2000, T=0.0000, Energy = -16.213218 ± 0.006557, Variance = 0.201295
[2025-03-06 01:46:25] Iter 510/2000, T=0.0000, Energy = -16.194343 ± 0.006661, Variance = 0.215566
[2025-03-06 01:53:24] Iter 520/2000, T=0.0000, Energy = -16.214155 ± 0.006177, Variance = 0.192478
[2025-03-06 02:00:22] Iter 530/2000, T=0.0000, Energy = -16.203851 ± 0.006973, Variance = 0.226220
[2025-03-06 02:07:12] Iter 540/2000, T=0.0000, Energy = -16.217579 ± 0.005227, Variance = 0.158390
[2025-03-06 02:14:12] Iter 550/2000, T=0.0000, Energy = -16.220029 ± 0.007276, Variance = 0.180378
[2025-03-06 02:21:10] Iter 560/2000, T=0.0000, Energy = -16.202497 ± 0.007195, Variance = 0.203626
[2025-03-06 02:28:09] Iter 570/2000, T=0.0000, Energy = -16.211184 ± 0.006711, Variance = 0.188939
[2025-03-06 02:35:11] Iter 580/2000, T=0.0000, Energy = -16.217131 ± 0.005877, Variance = 0.145002
[2025-03-06 02:42:09] Iter 590/2000, T=0.0000, Energy = -16.209498 ± 0.005694, Variance = 0.195659
[2025-03-06 02:49:01] Iter 600/2000, T=0.0000, Energy = -16.212518 ± 0.005077, Variance = 0.130368
[2025-03-06 02:55:53] Iter 610/2000, T=0.0000, Energy = -16.202622 ± 0.007607, Variance = 0.232376
[2025-03-06 03:02:54] Iter 620/2000, T=0.0000, Energy = -16.216671 ± 0.006758, Variance = 0.149409
[2025-03-06 03:09:49] Iter 630/2000, T=0.0000, Energy = -16.221733 ± 0.007113, Variance = 0.173440
[2025-03-06 03:16:48] Iter 640/2000, T=0.0000, Energy = -16.220482 ± 0.006259, Variance = 0.176386
[2025-03-06 03:23:48] Iter 650/2000, T=0.0000, Energy = -16.222901 ± 0.006304, Variance = 0.166137
[2025-03-06 03:30:35] Iter 660/2000, T=0.0000, Energy = -16.210283 ± 0.004396, Variance = 0.145501
[2025-03-06 03:37:28] Iter 670/2000, T=0.0000, Energy = -16.220743 ± 0.005259, Variance = 0.138485
[2025-03-06 03:44:20] Iter 680/2000, T=0.0000, Energy = -16.207061 ± 0.005925, Variance = 0.183850
[2025-03-06 03:51:21] Iter 690/2000, T=0.0000, Energy = -16.226993 ± 0.006942, Variance = 0.201983
[2025-03-06 03:58:15] Iter 700/2000, T=0.0000, Energy = -16.202473 ± 0.005379, Variance = 0.190711
[2025-03-06 04:05:07] Iter 710/2000, T=0.0000, Energy = -16.213030 ± 0.006694, Variance = 0.143227
[2025-03-06 04:11:59] Iter 720/2000, T=0.0000, Energy = -16.211082 ± 0.006749, Variance = 0.251523
[2025-03-06 04:18:47] Iter 730/2000, T=0.0000, Energy = -16.214725 ± 0.006667, Variance = 0.136785
[2025-03-06 04:25:39] Iter 740/2000, T=0.0000, Energy = -16.200203 ± 0.005341, Variance = 0.139423
[2025-03-06 04:32:30] Iter 750/2000, T=0.0000, Energy = -16.214954 ± 0.006780, Variance = 0.181172
[2025-03-06 04:39:21] Iter 760/2000, T=0.0000, Energy = -16.222251 ± 0.005804, Variance = 0.128187
[2025-03-06 04:46:09] Iter 770/2000, T=0.0000, Energy = -16.225154 ± 0.008741, Variance = 0.292984
[2025-03-06 04:53:03] Iter 780/2000, T=0.0000, Energy = -16.222546 ± 0.007013, Variance = 0.146267
[2025-03-06 04:59:52] Iter 790/2000, T=0.0000, Energy = -16.223165 ± 0.005122, Variance = 0.127282
[2025-03-06 05:06:38] Iter 800/2000, T=0.0000, Energy = -16.223208 ± 0.004750, Variance = 0.142558
[2025-03-06 05:13:25] Iter 810/2000, T=0.0000, Energy = -16.230774 ± 0.006150, Variance = 0.221436
[2025-03-06 05:20:19] Iter 820/2000, T=0.0000, Energy = -16.216546 ± 0.005768, Variance = 0.171935
[2025-03-06 05:27:10] Iter 830/2000, T=0.0000, Energy = -16.223646 ± 0.004989, Variance = 0.156533
[2025-03-06 05:33:59] Iter 840/2000, T=0.0000, Energy = -16.202610 ± 0.005561, Variance = 0.178613
[2025-03-06 05:40:48] Iter 850/2000, T=0.0000, Energy = -16.226965 ± 0.007363, Variance = 0.252387
[2025-03-06 05:47:36] Iter 860/2000, T=0.0000, Energy = -16.218949 ± 0.006240, Variance = 0.158068
[2025-03-06 05:54:28] Iter 870/2000, T=0.0000, Energy = -16.227871 ± 0.005904, Variance = 0.124267
[2025-03-06 06:01:19] Iter 880/2000, T=0.0000, Energy = -16.211295 ± 0.005928, Variance = 0.132719
[2025-03-06 06:08:06] Iter 890/2000, T=0.0000, Energy = -16.220241 ± 0.005513, Variance = 0.172971
[2025-03-06 06:14:59] Iter 900/2000, T=0.0000, Energy = -16.211485 ± 0.005802, Variance = 0.170570
[2025-03-06 06:21:50] Iter 910/2000, T=0.0000, Energy = -16.220384 ± 0.004445, Variance = 0.112077
[2025-03-06 06:28:37] Iter 920/2000, T=0.0000, Energy = -16.225190 ± 0.010752, Variance = 0.511634
[2025-03-06 06:35:20] Iter 930/2000, T=0.0000, Energy = -16.212576 ± 0.008888, Variance = 0.235744
[2025-03-06 06:42:03] Iter 940/2000, T=0.0000, Energy = -16.221078 ± 0.005506, Variance = 0.140460
[2025-03-06 06:48:55] Iter 950/2000, T=0.0000, Energy = -16.228306 ± 0.006130, Variance = 0.131725
[2025-03-06 06:55:44] Iter 960/2000, T=0.0000, Energy = -16.212151 ± 0.006367, Variance = 0.172032
[2025-03-06 07:02:28] Iter 970/2000, T=0.0000, Energy = -16.231715 ± 0.005854, Variance = 0.104103
[2025-03-06 07:09:20] Iter 980/2000, T=0.0000, Energy = -16.232307 ± 0.009132, Variance = 0.408851
[2025-03-06 07:16:07] Iter 990/2000, T=0.0000, Energy = -16.225723 ± 0.005250, Variance = 0.232429
[2025-03-06 07:22:58] Iter 1000/2000, T=0.0000, Energy = -16.218291 ± 0.006735, Variance = 0.173076
[2025-03-06 07:29:46] Iter 1010/2000, T=0.0000, Energy = -16.234714 ± 0.005550, Variance = 0.123910
[2025-03-06 07:36:34] Iter 1020/2000, T=0.0000, Energy = -16.227646 ± 0.005924, Variance = 0.138067
[2025-03-06 07:43:23] Iter 1030/2000, T=0.0000, Energy = -16.224295 ± 0.006225, Variance = 0.148282
[2025-03-06 07:50:16] Iter 1040/2000, T=0.0000, Energy = -16.225459 ± 0.004700, Variance = 0.119113
[2025-03-06 07:57:02] Iter 1050/2000, T=0.0000, Energy = -16.219600 ± 0.004810, Variance = 0.145773
[2025-03-06 08:03:48] Iter 1060/2000, T=0.0000, Energy = -16.225294 ± 0.006502, Variance = 0.143814
[2025-03-06 08:10:30] Iter 1070/2000, T=0.0000, Energy = -16.228263 ± 0.004794, Variance = 0.096747
[2025-03-06 08:17:19] Iter 1080/2000, T=0.0000, Energy = -16.215660 ± 0.006695, Variance = 0.154957
[2025-03-06 08:24:04] Iter 1090/2000, T=0.0000, Energy = -16.234132 ± 0.006494, Variance = 0.122004
[2025-03-06 08:30:53] Iter 1100/2000, T=0.0000, Energy = -16.235435 ± 0.005133, Variance = 0.124487
[2025-03-06 08:37:39] Iter 1110/2000, T=0.0000, Energy = -16.224205 ± 0.005200, Variance = 0.120057
[2025-03-06 08:44:20] Iter 1120/2000, T=0.0000, Energy = -16.221058 ± 0.005738, Variance = 0.147613
[2025-03-06 08:51:05] Iter 1130/2000, T=0.0000, Energy = -16.225380 ± 0.006633, Variance = 0.132146
[2025-03-06 08:57:53] Iter 1140/2000, T=0.0000, Energy = -16.225028 ± 0.005734, Variance = 0.144611
[2025-03-06 09:04:42] Iter 1150/2000, T=0.0000, Energy = -16.218259 ± 0.005252, Variance = 0.106771
[2025-03-06 09:11:27] Iter 1160/2000, T=0.0000, Energy = -16.227421 ± 0.006999, Variance = 0.149561
[2025-03-06 09:18:10] Iter 1170/2000, T=0.0000, Energy = -16.220882 ± 0.004465, Variance = 0.115789
