[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] Study of the Shastry-Sutherland Model
[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] System parameters: L=3, N=36
[2025-04-11 09:20:52]   - System size: L=3, N=36
[2025-04-11 09:20:52]   - System parameters: J1=0.8, J2=1.0, Q=0.0
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Model parameters:
[2025-04-11 09:21:03]   - Number of layers = 4
[2025-04-11 09:21:03]   - d_model = 32
[2025-04-11 09:21:03]   - Number of heads = 4
[2025-04-11 09:21:03]   - Patch size = 2
[2025-04-11 09:21:03]   - Symmetries used: 72
[2025-04-11 09:21:03]   - Total parameters = 23344
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Training parameters:
[2025-04-11 09:21:03]   - Learning rate: 0.035->0.0245
[2025-04-11 09:21:03]   - Total annealing steps: 1200
[2025-04-11 09:21:03]   - Samples: 4096
[2025-04-11 09:21:03]   - Discarded samples: 0
[2025-04-11 09:21:03]   - Chunk size: 1024
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Device status:
[2025-04-11 09:21:03]   - Number of devices: 2
[2025-04-11 09:21:03]   - Sharding: True
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Start training...
[2025-04-11 09:33:14] Iteration: 34/1200, LR: 0.034648, Temp: 0.2533, Energy: -3.901435+0.022822j, Rel_err(%): 76.0107
[2025-04-11 09:33:33] Iteration: 35/1200, LR: 0.034638, Temp: 0.2483, Energy: -4.038448-0.031595j, Rel_err(%): 75.1683
[2025-04-11 09:33:53] Iteration: 36/1200, LR: 0.034627, Temp: 0.2434, Energy: -4.133516-0.035317j, Rel_err(%): 74.5838
[2025-04-11 09:34:13] Iteration: 37/1200, LR: 0.034617, Temp: 0.2386, Energy: -4.346397+0.053984j, Rel_err(%): 73.2753
[2025-04-11 09:34:33] Iteration: 38/1200, LR: 0.034607, Temp: 0.2338, Energy: -4.483374+0.037230j, Rel_err(%): 72.4326
[2025-04-11 09:34:52] Iteration: 39/1200, LR: 0.034597, Temp: 0.2292, Energy: -4.755219-0.019923j, Rel_err(%): 70.7608
[2025-04-11 09:35:12] Iteration: 40/1200, LR: 0.034586, Temp: 0.2247, Energy: -4.839444-0.017070j, Rel_err(%): 70.2429
[2025-04-11 09:35:32] Iteration: 41/1200, LR: 0.034576, Temp: 0.2202, Energy: -4.986133-0.060306j, Rel_err(%): 69.3418
[2025-04-11 09:35:51] Iteration: 42/1200, LR: 0.034566, Temp: 0.2159, Energy: -5.110943+0.017710j, Rel_err(%): 68.5735
[2025-04-11 09:36:11] Iteration: 43/1200, LR: 0.034556, Temp: 0.2116, Energy: -5.353802-0.053061j, Rel_err(%): 67.0809
[2025-04-11 09:36:31] Iteration: 44/1200, LR: 0.034545, Temp: 0.2074, Energy: -5.548552-0.005204j, Rel_err(%): 65.8826
[2025-04-11 09:36:51] Iteration: 45/1200, LR: 0.034535, Temp: 0.2033, Energy: -5.723956-0.041398j, Rel_err(%): 64.8046
[2025-04-11 09:37:10] Iteration: 46/1200, LR: 0.034525, Temp: 0.1993, Energy: -5.932851+0.008169j, Rel_err(%): 63.5196
[2025-04-11 09:37:30] Iteration: 47/1200, LR: 0.034514, Temp: 0.1953, Energy: -6.116675+0.032653j, Rel_err(%): 62.3896
[2025-04-11 09:37:50] Iteration: 48/1200, LR: 0.034504, Temp: 0.1914, Energy: -6.332332-0.071323j, Rel_err(%): 61.0648
[2025-04-11 09:38:10] Iteration: 49/1200, LR: 0.034494, Temp: 0.1877, Energy: -6.617834+0.024975j, Rel_err(%): 59.3079
[2025-04-11 09:38:29] Iteration: 50/1200, LR: 0.034484, Temp: 0.1839, Energy: -6.833843-0.059879j, Rel_err(%): 57.9807
[2025-04-11 09:38:49] Iteration: 51/1200, LR: 0.034473, Temp: 0.1803, Energy: -6.989131+0.039142j, Rel_err(%): 57.0251
[2025-04-11 09:39:09] Iteration: 52/1200, LR: 0.034463, Temp: 0.1767, Energy: -7.276729-0.063530j, Rel_err(%): 55.2576
[2025-04-11 09:39:29] Iteration: 53/1200, LR: 0.034453, Temp: 0.1732, Energy: -7.535678+0.059459j, Rel_err(%): 53.6652
[2025-04-11 09:39:48] Iteration: 54/1200, LR: 0.034443, Temp: 0.1698, Energy: -7.710532-0.049539j, Rel_err(%): 52.5897
[2025-04-11 09:40:08] Iteration: 55/1200, LR: 0.034432, Temp: 0.1664, Energy: -7.904100+0.082637j, Rel_err(%): 51.4011
[2025-04-11 09:40:28] Iteration: 56/1200, LR: 0.034422, Temp: 0.1631, Energy: -8.224060+0.070335j, Rel_err(%): 49.4331
[2025-04-11 09:40:47] Iteration: 57/1200, LR: 0.034412, Temp: 0.1599, Energy: -8.391125-0.051858j, Rel_err(%): 48.4050
[2025-04-11 09:41:07] Iteration: 58/1200, LR: 0.034402, Temp: 0.1567, Energy: -8.704948+0.004997j, Rel_err(%): 46.4743
[2025-04-11 09:41:27] Iteration: 59/1200, LR: 0.034392, Temp: 0.1536, Energy: -8.816731+0.001880j, Rel_err(%): 45.7869
[2025-04-11 09:41:47] Iteration: 60/1200, LR: 0.034381, Temp: 0.1506, Energy: -9.012237+0.004417j, Rel_err(%): 44.5848
[2025-04-11 09:42:06] Iteration: 61/1200, LR: 0.034371, Temp: 0.1476, Energy: -9.137782+0.125471j, Rel_err(%): 43.8196
[2025-04-11 09:42:26] Iteration: 62/1200, LR: 0.034361, Temp: 0.1447, Energy: -9.360556-0.098228j, Rel_err(%): 42.4473
[2025-04-11 09:42:46] Iteration: 63/1200, LR: 0.034351, Temp: 0.1418, Energy: -9.371713+0.054431j, Rel_err(%): 42.3757
[2025-04-11 09:43:06] Iteration: 64/1200, LR: 0.034340, Temp: 0.1390, Energy: -9.603800+0.171975j, Rel_err(%): 40.9610
[2025-04-11 09:43:25] Iteration: 65/1200, LR: 0.034330, Temp: 0.1363, Energy: -9.079246-0.031305j, Rel_err(%): 44.1732
[2025-04-11 09:43:45] Iteration: 66/1200, LR: 0.034320, Temp: 0.1336, Energy: -9.446350+0.030229j, Rel_err(%): 41.9159
[2025-04-11 09:44:05] Iteration: 67/1200, LR: 0.034310, Temp: 0.1309, Energy: -9.740132+0.039918j, Rel_err(%): 40.1098
[2025-04-11 09:44:25] Iteration: 68/1200, LR: 0.034300, Temp: 0.1283, Energy: -10.030369+0.028521j, Rel_err(%): 38.3248
[2025-04-11 09:44:44] Iteration: 69/1200, LR: 0.034290, Temp: 0.1258, Energy: -10.311851-0.059597j, Rel_err(%): 36.5955
[2025-04-11 09:45:04] Iteration: 70/1200, LR: 0.034279, Temp: 0.1233, Energy: -10.424546+0.061092j, Rel_err(%): 35.9026
[2025-04-11 09:45:24] Iteration: 71/1200, LR: 0.034269, Temp: 0.1209, Energy: -10.564014+0.010705j, Rel_err(%): 35.0432
[2025-04-11 09:45:44] Iteration: 72/1200, LR: 0.034259, Temp: 0.1185, Energy: -10.643070-0.005542j, Rel_err(%): 34.5570
[2025-04-11 09:46:03] Iteration: 73/1200, LR: 0.034249, Temp: 0.1161, Energy: -10.778448+0.005596j, Rel_err(%): 33.7246
[2025-04-11 09:46:23] Iteration: 74/1200, LR: 0.034239, Temp: 0.1138, Energy: -10.929809+0.051160j, Rel_err(%): 32.7954
[2025-04-11 09:46:43] Iteration: 75/1200, LR: 0.034228, Temp: 0.1116, Energy: -11.070599+0.034795j, Rel_err(%): 31.9289
[2025-04-11 09:47:03] Iteration: 76/1200, LR: 0.034218, Temp: 0.1094, Energy: -11.190576+0.017511j, Rel_err(%): 31.1906
[2025-04-11 09:47:22] Iteration: 77/1200, LR: 0.034208, Temp: 0.1072, Energy: -11.189637+0.035995j, Rel_err(%): 31.1970
[2025-04-11 09:47:42] Iteration: 78/1200, LR: 0.034198, Temp: 0.1051, Energy: -11.260183+0.004446j, Rel_err(%): 30.7624
[2025-04-11 09:48:02] Iteration: 79/1200, LR: 0.034188, Temp: 0.1030, Energy: -11.333295-0.013169j, Rel_err(%): 30.3130
[2025-04-11 09:48:21] Iteration: 80/1200, LR: 0.034178, Temp: 0.1009, Energy: -11.352118+0.029148j, Rel_err(%): 30.1977
[2025-04-11 09:48:41] Iteration: 81/1200, LR: 0.034167, Temp: 0.0989, Energy: -11.363400-0.016157j, Rel_err(%): 30.1279
[2025-04-11 09:49:01] Iteration: 82/1200, LR: 0.034157, Temp: 0.0970, Energy: -11.469176+0.079468j, Rel_err(%): 29.4814
[2025-04-11 09:49:21] Iteration: 83/1200, LR: 0.034147, Temp: 0.0951, Energy: -11.004607+0.035920j, Rel_err(%): 32.3347
[2025-04-11 09:49:40] Iteration: 84/1200, LR: 0.034137, Temp: 0.0932, Energy: -11.116421+0.018892j, Rel_err(%): 31.6466
[2025-04-11 09:50:00] Iteration: 85/1200, LR: 0.034127, Temp: 0.0913, Energy: -11.174580+0.009972j, Rel_err(%): 31.2889
[2025-04-11 09:50:20] Iteration: 86/1200, LR: 0.034117, Temp: 0.0895, Energy: -11.319353-0.008765j, Rel_err(%): 30.3986
[2025-04-11 09:50:40] Iteration: 87/1200, LR: 0.034107, Temp: 0.0878, Energy: -11.362886-0.021272j, Rel_err(%): 30.1312
[2025-04-11 09:50:59] Iteration: 88/1200, LR: 0.034096, Temp: 0.0860, Energy: -11.404678-0.003787j, Rel_err(%): 29.8740
[2025-04-11 09:51:19] Iteration: 89/1200, LR: 0.034086, Temp: 0.0843, Energy: -11.429385+0.004425j, Rel_err(%): 29.7220
[2025-04-11 09:51:39] Iteration: 90/1200, LR: 0.034076, Temp: 0.0826, Energy: -11.460336-0.022943j, Rel_err(%): 29.5321
[2025-04-11 09:51:59] Iteration: 91/1200, LR: 0.034066, Temp: 0.0810, Energy: -11.508123-0.001288j, Rel_err(%): 29.2379
[2025-04-11 09:52:18] Iteration: 92/1200, LR: 0.034056, Temp: 0.0794, Energy: -11.504347-0.011674j, Rel_err(%): 29.2612
[2025-04-11 09:52:38] Iteration: 93/1200, LR: 0.034046, Temp: 0.0778, Energy: -11.518803-0.003223j, Rel_err(%): 29.1722
[2025-04-11 09:52:58] Iteration: 94/1200, LR: 0.034036, Temp: 0.0763, Energy: -11.553185-0.005200j, Rel_err(%): 28.9608
[2025-04-11 09:53:17] Iteration: 95/1200, LR: 0.034026, Temp: 0.0748, Energy: -11.569798+0.008396j, Rel_err(%): 28.8587
[2025-04-11 09:53:37] Iteration: 96/1200, LR: 0.034015, Temp: 0.0733, Energy: -11.586715-0.010692j, Rel_err(%): 28.7547
[2025-04-11 09:53:57] Iteration: 97/1200, LR: 0.034005, Temp: 0.0719, Energy: -11.587258+0.010999j, Rel_err(%): 28.7514
[2025-04-11 09:54:17] Iteration: 98/1200, LR: 0.033995, Temp: 0.0704, Energy: -11.566128+0.003893j, Rel_err(%): 28.8812
[2025-04-11 09:54:36] Iteration: 99/1200, LR: 0.033985, Temp: 0.0690, Energy: -11.596272+0.006512j, Rel_err(%): 28.6959
[2025-04-11 09:54:56] Iteration: 100/1200, LR: 0.033975, Temp: 0.0677, Energy: -11.619471-0.002834j, Rel_err(%): 28.5532
[2025-04-11 09:55:16] Iteration: 101/1200, LR: 0.033965, Temp: 0.0663, Energy: -11.599228-0.027569j, Rel_err(%): 28.6782
[2025-04-11 09:55:36] Iteration: 102/1200, LR: 0.033955, Temp: 0.0650, Energy: -11.593156-0.006075j, Rel_err(%): 28.7150
[2025-04-11 09:55:55] Iteration: 103/1200, LR: 0.033945, Temp: 0.0637, Energy: -11.599197+0.028806j, Rel_err(%): 28.6784
[2025-04-11 09:56:15] Iteration: 104/1200, LR: 0.033935, Temp: 0.0625, Energy: -11.505133+0.023410j, Rel_err(%): 29.2566
[2025-04-11 09:56:35] Iteration: 105/1200, LR: 0.033925, Temp: 0.0612, Energy: -11.540443+0.022995j, Rel_err(%): 29.0395
[2025-04-11 09:56:54] Iteration: 106/1200, LR: 0.033914, Temp: 0.0600, Energy: -11.577623-0.017841j, Rel_err(%): 28.8107
[2025-04-11 09:57:14] Iteration: 107/1200, LR: 0.033904, Temp: 0.0588, Energy: -11.472259+0.046013j, Rel_err(%): 29.4598
[2025-04-11 09:57:34] Iteration: 108/1200, LR: 0.033894, Temp: 0.0577, Energy: -11.561415-0.036381j, Rel_err(%): 28.9111
[2025-04-11 09:57:54] Iteration: 109/1200, LR: 0.033884, Temp: 0.0565, Energy: -11.552925+0.039756j, Rel_err(%): 28.9634
[2025-04-11 09:58:13] Iteration: 110/1200, LR: 0.033874, Temp: 0.0554, Energy: -11.543109-0.000580j, Rel_err(%): 29.0228
[2025-04-11 09:58:33] Iteration: 111/1200, LR: 0.033864, Temp: 0.0543, Energy: -11.564106+0.005068j, Rel_err(%): 28.8937
[2025-04-11 09:58:53] Iteration: 112/1200, LR: 0.033854, Temp: 0.0532, Energy: -11.591176+0.045513j, Rel_err(%): 28.7286
[2025-04-11 09:59:13] Iteration: 113/1200, LR: 0.033844, Temp: 0.0522, Energy: -11.602369+0.002162j, Rel_err(%): 28.6584
[2025-04-11 09:59:32] Iteration: 114/1200, LR: 0.033834, Temp: 0.0511, Energy: -11.639701-0.001501j, Rel_err(%): 28.4288
[2025-04-11 09:59:52] Iteration: 115/1200, LR: 0.033824, Temp: 0.0501, Energy: -11.645974+0.018785j, Rel_err(%): 28.3905
[2025-04-11 10:00:12] Iteration: 116/1200, LR: 0.033814, Temp: 0.0491, Energy: -11.690637+0.010569j, Rel_err(%): 28.1157
[2025-04-11 10:00:32] Iteration: 117/1200, LR: 0.033804, Temp: 0.0482, Energy: -11.706330-0.020643j, Rel_err(%): 28.0194
[2025-04-11 10:00:51] Iteration: 118/1200, LR: 0.033794, Temp: 0.0472, Energy: -11.732056-0.000410j, Rel_err(%): 27.8609
[2025-04-11 10:01:11] Iteration: 119/1200, LR: 0.033784, Temp: 0.0463, Energy: -11.725431-0.000692j, Rel_err(%): 27.9017
[2025-04-11 10:01:31] Iteration: 120/1200, LR: 0.033774, Temp: 0.0454, Energy: -11.777201+0.005908j, Rel_err(%): 27.5834
[2025-04-11 10:01:51] Iteration: 121/1200, LR: 0.033764, Temp: 0.0445, Energy: -11.743490+0.010622j, Rel_err(%): 27.7907
[2025-04-11 10:02:10] Iteration: 122/1200, LR: 0.033754, Temp: 0.0436, Energy: -11.795527+0.016174j, Rel_err(%): 27.4708
[2025-04-11 10:02:30] Iteration: 123/1200, LR: 0.033744, Temp: 0.0427, Energy: -11.715991-0.013473j, Rel_err(%): 27.9598
[2025-04-11 10:02:50] Iteration: 124/1200, LR: 0.033734, Temp: 0.0419, Energy: -11.591906+0.033973j, Rel_err(%): 28.7235
